SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q01010203,Q0119,Q01190100,Q0117,Q0120,Q012001,NHQ2,THQ01,THQ02,THQ03,THQ04,THQ05,THQ06,THQ07,THQ08,THQ09,THQ10,THQ11,THQ12,THQ13
98,1,47,11,2,5,9,7,1,2024,2,1, ,2000, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,56,15,2,6,12,4,1,2024,2,2, ,3500,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,48,12,2,5,7,6,1,2024,4,4,1,1600,1,5,500,0,200,0,0,0,0,300,0,0,0,0,0,0
2,1,59,1,2,6,7,7,1,2023,10,4,1,1600,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,51,11,2,5,7,6,1,2024,4,5, , , , ,200,0,0,0,0,0,0,0,0,0,0,200,0,0
98,1,55,8,2,6,11,6,1,2024,2,1, ,2000,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,44,15,2,4,5,3,1,2024,4,4,1,1600,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,42,1,2,4,8,3,1,2024,4,1, ,3800,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,49,8,2,5,7,4,1,2023,10,4,1,1600,1,6,1000,300,0,0,100,200,0,400,0,0,0,0,0,0
4,1,46,9,2,5,5,3,1,2023,10,3, ,2200,1,6,300,100,100,0,0,0,100,0,0,0,0,0,0,0
5,1,59,8,2,6,11,8,1,2023,7,1, ,3500,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,66,7,2,7,5,4,1,2023,10,1, ,1600,1, ,100,0,0,0,0,0,0,0,100,0,0,0,0,0
3,2,48,5,2,5,8,3,1,2023,9,4,1,1600,1, ,400,0,0,200,0,0,200,0,0,0,0,0,0,0
5,1,38,11,2,4,4,3,1,2024,5,4,1,1600,1,7,400,0,0,0,0,0,0,100,0,0,300,0,0,0
5,1,48,14,2,6,6,6,1,2023,7,1, ,3800,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,34,4,2,2,6,4,1,2024,6,1, ,1300,1, ,100,0,0,0,0,0,100,0,0,0,0,0,0,0
98,1,42,11,2,5,9,5,1,2023,7,4,1,1600,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,43,10,2,5,5,5,1,2023,8,1, ,1000,1, ,300,100,0,0,200,0,0,0,0,0,0,0,0,0
2,1,56,7,2,6,11,10,1,2024,4,1, ,2000,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,31,8,1,1,2,2,1,2024,2,1, ,1000, ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
