SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q01190000,Q01190000_A,Q01190001,Q01190001_A,Q01190002,Q01190002_A,Q01190005,Q01230101,Q01230102,Q0124
4,1,58,1,2,6,5,4,1,2020,4,1,1600,1, , , , , , , , , , , 
4,1,57,8,2,6,10,4,1,2023,1, ,1300,1, ,11.9, ,9.9, ,15.1, ,5,4, ,1
1,1,51,1,2,3,8,8,1,2014,4,1,2400,1, , , , , , , , , , , 
2,1,43,1,2,5,5,4,1,2022,5, , , , , , , , , , , ,5,1,2
1,1,65,1,2,6,13,13,1,2023,1, ,3500,3, ,9, ,8, ,10.4, ,5,1, , 
4,1,69,6,2,7,7,7,1,2013,1, ,2400,1, , , , , , , , , , , 
3,2,55,15,2,6,6,3,1,2015,3, ,1700,2, , , , , , , , , , , 
98,2,46,7,2,5,6,2,1,2024,1, ,2000,1, , ,98,11.2, ,17, ,9,1,3, 
5,1,59,1, , , , ,1,2018,1, ,3300,3, , , , , , , , , , , 
4,2,57,8,2,6,6,2,1,2016,3, ,2000,1,5, , , , , , , , , , 
4,2,64,12,2,7,2,4,1,2014,1, ,1000, ,5, , , , , , , , , , 
4,1,43,15,2,4,4,4,1,2013,1, ,1600, , , , , , , , , , , , 
4,1,54,13,2,6,7,3,1,2020,1, ,1600,1, , , , , , , , , , , 
2,1,48,9,2,6,6,5,1,2014,3, ,2000,1, , , , , , , , , , , 
3,1,57,9,2,6,6,4,1,2018,1, ,2000, , , , , , , , , , , , 
1,1,66,4,2,6,2,2,1,2024,5, , , , , , , , , , , ,4, ,2
1,1,52,2,2,3,11,7,1,2024,4,1,2500,3, ,17, ,15.3, ,18.8, ,10,1,3,1
4,1,50,14,2,5,4,3,1,2015,3, ,2000,1,5, , , , , , , , , , 
2,1,67,14,2,7,3,3,1,2015,2, ,2000, , , , , , , , , , , , 
98,1,65,8,2,7,7,4,1,2023,1, ,2500,1, ,11.7, ,15.7, ,17.6, ,8,1, , 
98,1,32,1,1,1,3,3,1,2022,1, ,2000,1, , ,98,8.3, ,12.5, ,9,1, ,1
5,2,56,1,2,6,10,3,1,2014,3, ,3300,1,11, , , , , , , , , , 
2,1,47,8,2,5,7,6,1,2019,3, ,2200,1,9, , , , , , , , , , 
5,1,44,5,2,5,5,2,1,2021,1, ,1300,1, ,13.2, ,11.5, ,17.2, ,7,1, ,1
98,1,45,8,2,5,9,7,1,2013,1, ,3500,1, , , , , , , , , , , 
3,2,52,8,2,6,9,3,1,2013,3, ,2000,1,7, , , , , , , , , , 
98,1,65,5,2,7,13,11,1,2023,1, ,3500,3, ,9.3, ,9, ,12, ,7,1,4,1
98,1,69,8,2,7,6,2,1,2017,1, ,3300,3, , , , , , , , , , , 
2,2,51,8,2,5,8,3,1,2013,3, ,2000,1,7, , , , , , , , , , 
98,1,42,1,1,1,4,4,1,2020,1, ,2500,1, , , , , , , , , , , 
5,1,45,8,1,1,5,5,1,2017,2, ,2000,1,7, , , , , , , , , , 
98,1,69,2,2,7,6,4,1,2024,1, ,2200,1, , , , , , , , ,1, , 
5,2,47,4, , , , ,1,2022,1, ,2000,3, ,8.6, ,7.5, ,11.3, ,6,5,4,1
98,1,58,16,97,5,3,3,1,2023,4,1,2000, , ,17.1, ,19, ,20, ,8,1, , 
4,1,47,1,2,5,10,5,1,2021,4,1,2400,1, ,16.2, ,15.1, ,20.7, ,8,3,1, 
3,1,43,6,2,5,8,8,1,2023,4,1,2500,1, ,14.4, ,14.7, ,17.4, ,10,1, ,1
4,1,66,14,2,7,2,2,1,2018,3, ,2200,1,7, , , , , , , , , , 
4,1,40,8,2,3,6,3,1,2023,1, ,2500,1, ,8.2, ,7, ,11, ,5,1,3, 
3,1,55,14,2,5,8,4,1,2013,3, ,2000,1, , , , , , , , , , , 
1,1,57,1,2,6,11,6,1,2019,4,1,2400,1, , , , , , , , , , , 
1,1,65,2,2,6,12,10,1,2013,3, ,2900,2,7, , , , , , , , , , 
98,1,47,8,1,1,4,4,1,2020,1, ,1300,1, , , , , , , , , , , 
5,2,54,1,2,6,10,6,1,2022,1, ,2000,1, , , , , , , , ,3,1,2
1,1,61,13,2,6,6,6,1,2013,3, ,3000,1,7, , , , , , , , , , 
3,1,47,11,2,4,7,7,1,2023,4,1,1600,1,5,15.3, ,15.9, ,20.1, ,10,1, , 
5,1,61,4,97,6,3,3,1,2015,1, ,2000, , , , , , , , , , , , 
98,2,42,1,2,5,11,1,1,2022,1, ,2000,1, , , , , , , , ,1,3,1
2,1,66,8,2,7,3,3,1,2017,3, ,2200,1,7, , , , , , , , , , 
1,1,66,8,2,7,10,6,1,2018,3, ,3000,3, , , , , , , , , , , 
3,1,31,1,1,6,7,3,1,2019,1, ,1600, , , , , , , , , , , , 
2,1,51,9,2,5,4,4,1,2022,2, ,3000,1, , , , , , , , ,1,3,1
3,1,52,6,2,5,6,5,1,2013,1, ,1500, , , , , , , , , , , , 
4,1,54,8,2,5,6,6,1,2013,3, ,2000,1, , , , , , , , , , , 
2,1,69,1,2,6,8,5,1,2021,1, ,2500,1, , , , , , , , ,1, ,2
4,1,58,1, , , , ,1,2017,1, ,2000, , , , , , , , , , , , 
3,1,56,1,2,5,5,5,1,2013,3, ,2000,3, , , , , , , , , , , 
2,1,63,1,2,6,4,3,1,2013,1, ,2000, , , , , , , , , , , , 
4,2,60,1,2,6,10,6,1,2021,6, , ,1, , , , , , , , ,1, ,2
5,1,48,13,2,5,7,3,1,2015,3, ,2000,1,7, , , , , , , , , , 
3,1,52,1,2,4,7,7,1,2013,1, ,4000,1, , , , , , , , , , , 
3,2,40,12,2,5,5,2,1,2013,1, ,2000, , , , , , , , , , , , 
5,1,53,8,97,1,6,6,1,2021,1, ,2000,1, ,10.9, ,8.2, ,11.4, ,8,3,4, 
4,1,44,8,2,4,5,5,1,2022,3, ,3000,3, ,11.4, ,9, ,15, ,9,4,1,1
5,1,51,6,2,6,6,6,1,2018,3, ,2000,1, , , , , , , , , , , 
98,1,50,1,2,6,6,4,1,2018,3, ,1700,1, , , , , , , , , , , 
5,2,40,2,2,2,2,1,1,2014,1, ,2000, , , , , , , , , , , , 
1,1,48,8,2,5,7,5,1,2019,3, ,2000,1,5, , , , , , , , , , 
4,2,36,15,1,7,3,4,1,2014,1, ,1400,1, , , , , , , , , , , 
4,2,45,8,2,5,8,98,1,2015,2, ,2000,1, , , , , , , , , , , 
98,1,52,4,2,6,10,9,1,2022,1, ,2500,3,5,10.8, ,8.6, ,10.9, ,5,1, , 
98,2,46,7,2,5,4,98,1,2021,4,1,1600,1,6, ,98,16.2, ,21.1, ,7,1, , 
5,1,53,8,2,6,9,9,1,2016,3, ,2000,1, , , , , , , , , , , 
98,2,43,1,1,1,4,4,1,2022,4,1,2400,1, , ,98,7, ,17, ,7,1, ,1
98,2,47,8,1,5,3,3,1,2021,1, ,2000, , ,13.6, ,13.9, ,18.5, ,10,98, , 
4,2,35,1,1,1,3,3,1,2018,1, ,2000, , , , , , , , , , , , 
1,1,46,7,2,5,7,7,1,2015,1, ,3000,1, , , , , , , , , , , 
98,1,35,3,2,4,4,4,1,2019,3, ,2200,1,8, , , , , , , , , , 
4,1,43,8,2,5,6,6,1,2018,1, ,2000, , , , , , , , , , , , 
98,1,55,4,2,5,99,99,1,2024,5, , , , , , , , , , , ,3,4,1
5,2,54,6, , , , ,1,2024,1, ,2000,1, , , , , , , , ,1,3,2
5,1,57,4,2,5,5,5,1,2020,3, ,2200,3,7, , , , , , , , , , 
3,1,48,1,2,3,10,5,1,2020,3, ,3000,2, , , , , , , , , , , 
2,2,36,1,2,4,4,4,1,2013,1, ,1600, , , , , , , , , , , , 
2,1,56,1,2,6,10,10,1,2021,3, ,2200,1,7, , , , , , , ,1, ,1
1,2,63,13, , , , ,1,2021,4,1,1600,3,7, , , , , , , ,4,3,1
1,1,57,17,2,6,9,7,1,2019,3, ,1600,1, , , , , , , , , , , 
5,2,50,1,2,5,4,4,1,2023,1, ,3500,3, ,8.2, ,6.5, ,9.6, ,2,1,3,1
98,1,69,14,2,7,5,3,1,2020,1, ,1600, , , , , , , , , , , , 
2,1,37,8,1,6,7,3,1,2023,1, ,1000,1, ,12.3, ,10.7, ,18.3, ,4,1, ,1
5,2,48,2,1,1,99,99,1,2021,1, ,5001,1, , ,98,5.1, ,6.4, ,6,3,4, 
3,2,33,2,1,1,6,6,1,2018,1, ,1600,1, , , , , , , , , , , 
1,1,68,1,2,6,11,4,1,2013,1, ,3300,1, , , , , , , , , , , 
3,1,62,2,2,7,8,6,1,2022,2, ,2000,1,5,9.1, ,8.3, ,9.3, ,7,1,4,1
1,1,41,8, , , , ,1,2016,1, ,3500,1, , , , , , , , , , , 
3,2,63,1,2,6,6,3,1,2014,1, ,2000, , , , , , , , , , , , 
5,2,46,13, , , , ,1,2019,1, ,1500,1, , , , , , , , , , , 
98,1,44,15,1,1,2,2,1,2021,5, , , , , , , , , , , ,3,1, 
2,2,44,1,2,5,11,5,1,2021,1, ,2500,3, , , , , , , , ,98, ,1
4,1,46,2,2,3,11,3,1,2020,2, ,3000,1, , , , , , , , , , , 
98,1,48,4,2,4,8,6,1,2023,3, ,2200,2, ,11, ,9.1, ,12.4, ,8,4,1,2
1,1,57,9,2,6,7,5,1,2013,3, ,2400,2,7, , , , , , , , , , 
4,1,50,10,2,6,9,99,1,2018,1, ,3000,1, , , , , , , , , , , 
3,1,47,8,2,5,10,10,1,2019,3, ,1600,1, , , , , , , , , , , 
98,1,50,12,2,3,6,5,1,2021,3, ,3000,2,5, ,98,9.2, ,11.9, ,5,1,3,1
98,1,55,17,97,1,4,4,1,2019,3, ,2200,2, , , , , , , , , , , 
4,2,51,15,2,6,5,2,1,2021,3, ,2000,1, , ,98,21, ,29.6, ,4,3, , 
2,2,43,14,2,5,10,5,1,2013,1, ,1600, , , , , , , , , , , , 
98,1,62,9,2,6,11,3,1,2022,3, ,3000,2,7,9.4, ,7.6, ,11, ,6,3, ,1
3,1,69,12,2,7,3,2,1,2021,3, ,2200,1,8, , , , , , , ,1,2,2
4,1,61,10,2,7,11,11,1,2023,4,1,1600,1, , , , , , , , ,1, , 
1,1,41,8,2,5,10,6,1,2023,1, ,3500,3, ,8.9, ,6, ,10, ,6,98, ,2
5,1,52,1,2,6,11,7,1,2024,4,1,2500,3, ,17.2, ,23, ,20, ,10,3, ,1
3,1,45,8,2,4,6,4,1,2019,1, ,1600, , , , , , , , , , , , 
1,2,36,11,2,2,6,3,1,2022,1, ,1600,1, ,13.4, ,8.8, ,17.6, ,8,98, ,1
5,1,63,1,2,6,7,3,1,2013,1, ,3000,1, , , , , , , , , , , 
2,1,44,11,2,5,6,5,1,2013,1, ,3000,1, , , , , , , , , , , 
2,1,51,8,2,6,6,3,1,2013,1, ,1600, , , , , , , , , , , , 
2,1,41,1,2,4,6,6,1,2014,3, ,2000,1, , , , , , , , , , , 
4,1,46,3,1,1,4,4,1,2013,1, ,2400,1, , , , , , , , , , , 
98,1,41,8,2,4,3,3,1,2024,3, ,2200,3,7,14.1, ,10.1, ,16.2, ,7,1, ,1
4,1,63,8,2,6,13,11,1,2015,1, ,3800,3, , , , , , , , , , , 
98,2,56,8,2,6,10,98,1,2023,1, ,1500,1, , ,98,9.6, ,14.1, ,6,1,3,1
2,1,56,12,2,6,6,4,1,2022,3, ,2200,1,7,12.5, ,11, ,14, ,8,2, ,2
98,1,45,8,2,5,4,4,1,2022,1, ,2200,1,5,14.3, ,16.2, ,19.1, ,7,4, ,1
5,1,59,14, , , , ,1,2016,1, ,3300,1, , , , , , , , , , , 
3,1,66,11,2,6,10,7,1,2020,3, ,2200,1,9, , , , , , , , , , 
98,1,40,10,1,7,4,2,1,2016,1, ,2000, , , , , , , , , , , , 
98,1,66,1,2,6,6,5,1,2018,4,1,2400,1, , , , , , , , , , , 
98,1,67,4,2,7,12,11,1,2021,4,1,3500,3, , ,98,8, ,13, ,7,3,1, 
98,1,51,5,2,5,10,7,1,2023,3, ,2000,1, ,14.4, ,13.7, ,19.5, ,5,98, ,1
98,1,65,3,2,7,2,2,1,2013,1, ,2000, , , , , , , , , , , , 
98,2,55,3,1,6,2,2,1,2013,3, ,2000,1, , , , , , , , , , , 
5,1,54,8,2,7,5,3,1,2017,1, ,1600, , , , , , , , , , , , 
5,2,29,8,1,6,13,3,1,2021,1, ,1600,1, , ,98,5.5, ,12.8, ,7,1,4,1
4,2,45,3,2,5,5,2,1,2022,3, ,2200,3,7,8.5, ,5.2, ,10.8, ,4,1,3,1
98,1,52,4,2,6,6,4,1,2016,3, ,2000,1,5, , , , , , , , , , 
1,1,45,3, , , , ,1,2013,1, ,2000, , , , , , , , , , , , 
98,1,60,1,2,7,3,98,1,2018,1, ,1600, , , , , , , , , , , , 
98,1,64,15,2,6,2,1,1,2021,1, ,1600, , , , , , , , , ,1,97, 
4,1,56,8,2,6,9,5,1,2013,3, ,2000,1,7, , , , , , , , , , 
3,1,52,1,1,6,99,2,1,2021,4,1,2000, , ,19.1, ,13.8, ,21.9, ,5,3, ,1
5,1,36,1,1,1,5,5,1,2021,1, ,2000,1, ,10.6, ,10.3, ,15.9, ,9,4, , 
2,1,43,2,1,1,4,4,1,2013,1, ,1600, , , , , , , , , , , , 
4,1,38,1,1,6,5,4,1,2015,3, ,2000,1, , , , , , , , , , , 
5,1,44,1,2,5,8,6,1,2022,1, ,3000,3, ,7.2, ,5.5, ,9.8, ,8,4,3,2
2,1,53,8,2,3,5,3,1,2015,3, ,2000,1, , , , , , , , , , , 
98,1,56,12,2,6,11,8,1,2024,1, ,2500,3,5, ,98,8.6, ,9.6, ,3,1,3,1
1,1,55,14,2,6,4,3,1,2013,3, ,2000,1,7, , , , , , , , , , 
98,1,59,5,2,3,5,2,1,2024,4,1,1600,1,5, ,98,15, ,18, ,7,4, ,2
98,1,56,1,2,3,4,4,1,2024,1, ,2500,1, ,8.3, ,6.6, ,12.5, ,3,1, ,2
3,1,57,8,2,6,12,10,1,2023,4,1,2500,1, ,17.6, ,19.8, ,25.4, ,10,1,5, 
5,1,58,2,2,6,8,8,1,2022,1, ,3500,1,7,8.9, ,6.9, ,12.1, ,6,1, , 
4,2,55,8,2,6,7,6,1,2022,1, ,1600,1, , ,98,10.8, ,10.8, ,5,2,1, 
2,1,50,17,2,5,9,8,1,2021,4,1,1600,1,7, ,98,17.9, ,18.2, ,7,1, ,2
1,1,42,8,2,4,5,4,1,2014,1, ,1600, , , , , , , , , , , , 
2,1,53,12,2,6,6,4,1,2013,2, ,3000,1, , , , , , , , , , , 
98,2,64,1,2,7,3,1,1,2020,1, ,2500,1, , , , , , , , , , , 
98,1,50,14,2,5,5,5,1,2019,4,1,3500,3, , , , , , , , , , , 
4,2,61,1,2,6,8,4,1,2013,3, ,2000,1, , , , , , , , , , , 
98,1,55,1,2,6,11,11,1,2021,1, ,2500,3, , ,98,6.5, ,11.5, ,8,3, ,2
98,2,47,1,2,3,8,6,1,2023,5, , , , , , , , , , , ,4, , 
5,1,54,1,2,6,8,8,1,2023,1, ,2000,3, ,7.7, ,11.1, ,11.6, ,7,1,4, 
3,1,56,8,2,5,10,10,1,2016,4,1,2500,1, , , , , , , , , , , 
1,1,64,15, , , , ,1,2019,1, ,2400,1, , , , , , , , , , , 
3,1,49,15,2,5,5,5,1,2022,3, ,2000,1, ,12.8, ,13.7, ,19.2, ,6,3,1, 
98,1,59,5,2,7,10,6,1,2014,3, ,2000,1, , , , , , , , , , , 
98,2,60,12,1,7,3,3,1,2022,1, ,1600, , ,15.4, ,10.8, ,21.8, ,7,1, ,1
2,1,42,1,1,6,11,4,1,2024,4,1,2400,1, ,10.4, ,9.7, ,13.9, ,5,4,1,1
98,1,42,1,1,1,6,6,1,2024,1, ,2500,3,5,10.7, ,8.1, ,11, ,6,3,1, 
3,1,58,2,2,6,12,10,1,2020,1, ,3500,3, , , , , , , , , , , 
3,1,46,14,2,5,12,12,1,2020,3, ,3000,3, , , , , , , , , , , 
3,1,46,8,2,5,8,6,1,2021,3, ,2000,2, ,11, ,9.5, ,10.2, ,9,1,3, 
2,1,46,1,2,5,10,6,1,2017,3, ,2200,2,7, , , , , , , , , , 
98,2,67,3, , , , ,1,2019,1, ,1600, , , , , , , , , , , , 
98,1,41,3,1,1,10,10,1,2013,1, ,2500,3, , , , , , , , , , , 
1,1,50,2,2,5,5,5,1,2017,1, ,1400,1, , , , , , , , , , , 
98,2,65,6,2,7,8,5,1,2024,4,1,2000, , , ,98,15.9, ,20.2, ,9,4,3, 
98,1,53,8,2,6,9,5,1,2014,3, ,2200,1,11, , , , , , , , , , 
5,1,48,13,2,5,5,4,1,2019,3, ,2200,1,7, , , , , , , , , , 
3,1,41,10,1,1,6,6,1,2020,2, ,2000,1,5, , , , , , , , , , 
5,1,40,10,2,4,5,3,1,2021,3, ,2000,1, ,15.6, ,11, ,19.1, ,10,3,1, 
98,2,46,4,2,5,9,3,1,2020,1, ,3000,3, , , , , , , , , , , 
4,1,41,12,97,5,9,5,1,2013,1, ,2000,1, , , , , , , , , , , 
98,1,44,4,2,4,10,10,1,2015,1, ,2500,1, , , , , , , , , , , 
4,1,34,1,1,6,11,3,1,2016,3, ,1700,1, , , , , , , , , , , 
3,1,37,3,2,5,2,2,1,2023,5, , , , , , , , , , , ,4,3,1
98,1,52,1,2,5,5,5,1,2018,1, ,2000, , , , , , , , , , , , 
4,2,36,8,1,1,6,6,1,2020,2, ,1700,1,5, , , , , , , , , , 
1,2,55,1,1,6,3,3,1,2013,3, ,2000,2,7, , , , , , , , , , 
98,1,59,8,2,7,11,5,1,2014,1, ,2500,1, , , , , , , , , , , 
5,1,52,14,2,6,4,4,1,2019,1, ,2000,1, , , , , , , , , , , 
5,1,72,8,1,1,2,2,1,2014,1, ,2000, , , , , , , , , , , , 
5,2,42,8,97,5,3,3,1,2013,1, ,1000, ,5, , , , , , , , , , 
98,2,40,8,2,5,6,3,1,2020,1, ,2000, , , , , , , , , , , , 
3,2,33,4,1,6,10,5,1,2016,3, ,2000,2,5, , , , , , , , , , 
3,2,43,8,1,1,6,6,1,2013,2, ,1000, ,5, , , , , , , , , , 
98,1,45,8,2,5,7,3,1,2023,1, ,2500,1,6,10.4, ,8.2, ,14.2, ,10,1,4, 
3,1,46,14,2,5,5,4,1,2018,1, ,1000, ,5, , , , , , , , , , 
3,2,49,9,1,1,3,3,1,2018,1, ,2000,2, , , , , , , , , , , 
98,1,65,3,2,6,3,1,1,2020,1, ,2000, , , , , , , , , , , , 
5,1,46,1,2,5,10,8,1,2021,1, ,3000,2, ,9.1, ,5.2, ,11, ,7,4,1, 
5,1,59,8,2,6,10,5,1,2022,1, ,2500,3, ,10.5, ,9.5, ,13.7, ,7,1, , 
4,1,61,8,2,6,9,4,1,2022,1, ,2500,1, , ,98,10, ,15, ,4,2, ,1
98,1,59,4,2,7,10,6,1,2019,2, ,2000,1,5, , , , , , , , , , 
5,1,67,1,2,7,12,2,1,2017,1, ,3300,3, , , , , , , , , , , 
1,1,45,3,2,4,10,6,1,2022,5, , , , , , , , , , , ,4,2,2
5,2,63,14,2,6,5,1,1,2023,1, ,2500,3, ,10.8, ,8.2, ,14.2, ,7,1,4,1
3,1,43,3,2,3,10,7,1,2018,1, ,3300,1, , , , , , , , , , , 
98,2,27,3,1,6,11,3,1,2022,4,1,1600,1, ,15.8, ,16.9, ,18.3, ,10,1, ,1
3,1,41,2,2,5,7,6,1,2016,1, ,2400,1, , , , , , , , , , , 
98,1,50,8,2,6,11,7,1,2020,3, ,2000,1, , , , , , , , , , , 
98,1,54,8,2,6,11,10,1,2020,1, ,2000, , , , , , , , , , , , 
98,2,40,8,2,5,11,5,1,2018,1, ,1500,1, , , , , , , , , , , 
98,1,45,8,2,3,8,4,1,2013,4,1,1700,1, , , , , , , , , , , 
3,1,54,8,2,6,6,6,1,2023,3, ,3000,1,5,11.8, ,10.4, ,16, ,7,1, , 
2,2,44,2,2,5,8,3,1,2018,1, ,3600,1, , , , , , , , , , , 
4,1,44,5,2,5,8,4,1,2014,3, ,1500,1, , , , , , , , , , , 
4,2,64,1,97,6,2,2,1,2014,1, ,1400, , , , , , , , , , , , 
3,1,53,8,2,5,4,4,1,2013,3, ,2000,1,7, , , , , , , , , , 
5,1,62,2,2,6,10,7,1,2013,1, ,3500,1, , , , , , , , , , , 
98,1,61,13,2,6,7,4,1,2013,3, ,2000,1,7, , , , , , , , , , 
1,1,59,12,2,6,13,6,1,2013,1, ,3800,1,7, , , , , , , , , , 
5,1,66,8,2,7,6,3,1,2018,2, ,2000,1,7, , , , , , , , , , 
5,1,63,4,2,6,5,5,1,2023,1, ,1500,1, ,12.5, ,10.7, ,12.8, ,5,4, , 
5,1,55,2,2,6,7,6,1,2022,3, ,2000,1, ,15, ,13, ,18.3, ,10,3,1,1
2,2,49,2,1,1,8,8,1,2020,1, ,1000, , , , , , , , , , , , 
4,1,56,8,2,3,5,5,1,2013,2, ,2000, , , , , , , , , , , , 
4,2,46,11,97,1,3,3,1,2014,1, ,1600, , , , , , , , , , , , 
5,1,65,2,2,6,4,4,1,2023,1, ,2500,1, , , , , , , , ,1,3, 
98,1,50,8,2,5,8,6,1,2024,1, ,2500,3, ,9.8, ,7, ,14, ,7,1,3, 
5,2,42,8,1,6,8,5,1,2014,1, ,1000, ,5, , , , , , , , , , 
5,1,65,1,2,7,10,7,1,2019,3, ,2000,3, , , , , , , , , , , 
4,1,69,8, , , , ,1,2018,4,1,2000, , , , , , , , , , , , 
98,1,44,10,2,4,8,3,1,2016,3, ,2000,3, , , , , , , , , , , 
98,1,47,8,2,5,7,5,1,2019,3, ,2000,3, , , , , , , , , , , 
98,1,55,1,2,5,12,12,1,2023,4,2,2000,3, ,11, ,16.5, ,16.5, ,10,1, ,1
98,1,51,1, , , , ,1,2021,1, ,1600, , , , , , , , , ,1,3,2
2,1,61,5,2,6,10,3,1,2023,4,1,1600,1,5,14.6, ,9.9, ,16.2, ,8,1,4,1
4,1,41,8,2,5,4,3,1,2018,3, ,2000,1, , , , , , , , , , , 
4,1,61,5,2,7,2,2,1,2023,4,1,1600,1,5,15.7, ,18.6, ,21.1, ,10,1, ,1
3,2,49,1,1,6,5,3,1,2016,1, ,2000, , , , , , , , , , , , 
98,1,69,8,2,7,6,5,1,2019,1, ,2000,1,5, , , , , , , , , , 
98,1,31,15,2,4,10,5,1,2021,5, , , , , , , , , , , ,3,1,1
3,1,43,2,2,3,5,5,1,2021,4,1,1600, , ,21.1, ,24.5, ,28.6, ,10,1, ,2
98,1,66,3,2,7,3,3,1,2016,3, ,2000,3, , , , , , , , , , , 
4,1,50,8,97,1,9,9,1,2019,3, ,2200,2,9, , , , , , , , , , 
98,1,51,8,2,5,8,4,1,2018,1, ,2000, , , , , , , , , , , , 
4,1,42,15,2,5,10,6,1,2016,3, ,2000,1, , , , , , , , , , , 
1,2,32,8,2,3,8,5,1,2022,4,1,1600,1,5, ,98,18.4, ,20.1, ,10,1,3,1
98,1,46,8,97,1,99,99,1,2017,3, ,2000,1, , , , , , , , , , , 
98,1,57,15,2,6,4,4,1,2015,3, ,2000,1,7, , , , , , , , , , 
2,1,59,8,2,6,12,7,1,2013,1, ,3500,2, , , , , , , , , , , 
4,1,56,8,97,6,12,11,1,2023,1, ,2500,3, ,10.3, ,9, ,13.2, ,7,1,3,2
2,1,50,1,2,5,5,2,1,2013,1, ,1600, , , , , , , , , , , , 
98,1,64,5,2,7,11,6,1,2021,1, ,2000,3, ,14.9, ,15.1, ,19.2, ,7,1, , 
2,1,45,13,2,5,10,7,1,2022,4,2,2000,3, , ,98,28.8, ,25.3, ,10,3,4, 
4,2,40,8,2,4,9,4,1,2021,1, ,2200,1, ,12, ,12.2, ,14.5, ,6,5,1, 
1,1,61,12,2,6,7,2,1,2017,1, ,1500, , , , , , , , , , , , 
98,1,51,1,2,5,10,9,1,2024,4,1,1600,3,7,14.6, ,13.7, ,13.4, ,9,1, , 
2,1,46,5,97,1,13,13,1,2017,5, , , , , , , , , , , , , , 
4,2,38,8,2,4,10,3,1,2022,1, ,2000,1, ,12.6, ,6.3, ,13.7, ,7,4,1,2
5,1,43,4,1,1,4,4,1,2017,1, ,2000, , , , , , , , , , , , 
98,1,62,2,2,6,4,4,1,2021,3, ,2000,1,7, ,98,11.3, ,18, ,6,1, , 
4,2,42,12,2,5,5,1,1,2023,4,1,1600,1, ,16.4, ,10, ,19.5, ,6,3,1, 
98,1,46,1,2,5,7,4,1,2019,3, ,2000,1,5, , , , , , , , , , 
5,1,55,1,2,6,10,4,1,2013,1, ,2900,1, , , , , , , , , , , 
1,1,67,8,2,7,11,11,1,2014,3, ,3000,3, , , , , , , , , , , 
5,1,61,8,2,6,8,3,1,2024,4,1,1600,1, ,17, ,22.6, ,21, ,10,3,5,2
1,1,63,8,2,6,10,2,1,2013,1, ,2700,1, , , , , , , , , , , 
3,1,45,8,2,5,10,8,1,2021,1, ,2000,1,5,12.1, ,12.2, ,14.8, ,10,1,3, 
98,2,68,15,1,1,3,3,1,2020,1, ,1600,3, , , , , , , , , , , 
98,2,33,8,97,1,99,99,1,2023,5, , , ,7, , , , , , , ,4,1,1
3,2,56,2,2,6,5,5,1,2022,2, ,2000,1,5, ,98,22.7, ,29.1, ,10,1, ,1
98,1,53,1,2,6,12,8,1,2021,4,1,2500,1, ,17.6, ,18, ,23, ,9,3,4, 
4,1,46,2,2,5,10,5,1,2023,1, ,3300,1, ,10, ,9.8, ,11.3, ,4,1, ,2
5,1,51,2, , , , ,1,2013,1, ,1600, , , , , , , , , , , , 
1,1,64,3,2,6,13,13,1,2020,1, ,2500,3, , , , , , , , , , , 
1,1,44,12,1,7,5,3,1,2013,1, ,2000, , , , , , , , , , , , 
98,2,49,8,1,1,3,3,1,2018,1, ,1000, ,5, , , , , , , , , , 
98,1,44,8,2,5,6,4,1,2018,4,1,2400,1, , , , , , , , , , , 
3,1,58,2,2,6,4,2,1,2014,2, ,2000,1,7, , , , , , , , , , 
2,1,44,8,2,5,11,11,1,2018,5, , , , , , , , , , , , , , 
98,1,45,2,97,6,7,7,1,2023,2, ,3500,1, ,7.5, ,6.6, ,11.3, ,5,3,1, 
98,1,61,4,2,6,4,4,1,2022,2, ,2000,1,5,8.6, ,7.5, ,10.4, ,7,1, ,1
98,2,58,8,2,7,7,5,1,2018,1, ,2000,1,5, , , , , , , , , , 
4,1,55,3,2,5,5,3,1,2013,1, ,1600, , , , , , , , , , , , 
2,1,55,8,2,6,7,5,1,2019,1, ,1600, , , , , , , , , , , , 
1,1,47,8,2,5,6,6,1,2013,1, ,2000, , , , , , , , , , , , 
5,1,51,10,2,5,7,3,1,2013,1, ,3000,1, , , , , , , , , , , 
98,1,40,8,2,2,9,5,1,2024,1, ,4500,3, , , , , , , , ,4, , 
3,1,34,8,1,6,11,5,1,2021,1, ,2500,1, ,9.7, ,6.3, ,13.3, ,5,4,1,1
2,1,41,8,2,4,13,12,1,2015,2, ,3000,1, , , , , , , , , , , 
1,1,65,8,2,6,5,4,1,2013,3, ,2000,1,7, , , , , , , , , , 
98,1,46,8, , , , ,1,2013,1, ,2500,1, , , , , , , , , , , 
2,2,47,14,2,5,8,3,1,2019,1, ,2000, , , , , , , , , , , , 
98,2,48,12,2,5,99,2,1,2024,1, ,1600,1, , ,98,11.4, ,16.9, ,8,1,5,1
4,1,42,1,2,2,12,6,1,2022,5, , , , , , , , , , , ,1,5, 
4,1,37,1,1,1,3,3,1,2017,1, ,2000, , , , , , , , , , , , 
98,1,65,8,2,7,8,5,1,2024,1, ,2500,1, ,11.5, ,8.5, ,12, ,4,3, ,1
5,2,41,16,1,7,10,4,1,2020,5, , , , , , , , , , , , , , 
