SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q01190000,Q01190000_A,Q01190001,Q01190001_A,Q01190002,Q01190002_A,Q01190005,Q01230101,Q01230102,Q0124
98,1,54,1,2,6,6,6,1,2024,4,1,1600,1,5,15.1, ,14.4, ,16.4, ,9,3, ,1
98,2,41,1,2,4,11,7,1,2020,1, ,3000,3, , , , , , , , , , , 
4,1,55,8,2,6,10,5,1,2016,2, ,2000, , , , , , , , , , , , 
3,1,32,8,2,4,99,3,1,2023,2, ,2000,1,5,8.6, ,6.5, ,10.7, ,6,1,4,1
5,1,54,1,2,6,11,9,1,2013,1, ,2400,1, , , , , , , , , , , 
2,1,72,1,2,7,3,3,1,2017,3, ,1600,1, , , , , , , , , , , 
4,1,54,3,2,5,6,4,1,2020,3, ,2000,1,5, , , , , , , , , , 
98,1,66,2,2,6,5,4,1,2017,1, ,2400,1, , , , , , , , , , , 
3,1,53,8,2,5,4,4,1,2023,3, ,2000,3, ,15.4, ,15, ,22, ,9,5,1,2
2,1,42,2,1,1,10,10,1,2017,1, ,2000, , , , , , , , , , , , 
98,1,48,8,2,5,7,7,1,2024,4,1,1600,1,6,14.6, ,17, ,17.1, ,9,1,4, 
98,1,52,4,2,3,7,4,1,2020,3, ,2200,2,5, , , , , , , , , , 
98,1,65,8,2,6,6,2,1,2024,1, ,1600, , ,15.4, ,15.3, ,15.3, ,8,4,3,1
3,1,52,1,1,1,3,3,1,2014,1, ,1000, ,5, , , , , , , , , , 
3,1,48,8,2,5,6,4,1,2014,1, ,1600, , , , , , , , , , , , 
1,2,44,1,2,5,10,3,1,2015,2, ,3300,1, , , , , , , , , , , 
5,1,43,10,2,5,8,6,1,2013,3, ,2000,1, , , , , , , , , , , 
98,1,50,12,2,5,6,4,1,2015,3, ,2000,1,7, , , , , , , , , , 
2,1,60,8,2,3,3,3,1,2015,2, ,2000,1,7, , , , , , , , , , 
4,1,55,14,2,5,10,8,1,2017,1, ,3300,3, , , , , , , , , , , 
1,1,56,4,2,6,6,3,1,2015,1, ,1600, , , , , , , , , , , , 
5,2,47,7,2,5,9,4,1,2017,1, ,2000,1,5, , , , , , , , , , 
98,1,41,12,1,6,3,3,1,2018,2, ,2000, , , , , , , , , , , , 
98,1,44,17,2,5,5,3,1,2019,3, ,2200,1,5, , , , , , , , , , 
98,1,44,8,2,5,10,6,1,2022,4,1,1600,1,6,15.7, ,20.1, ,15, ,8,1,4, 
4,1,42,1,2,5,11,10,1,2014,3, ,1600,1, , , , , , , , , , , 
98,1,68,8,2,7,6,4,1,2023,1, ,2000,1,5,12, ,11.5, ,13, ,8,1,4,1
4,1,55,8,2,6,11,7,1,2022,1, ,1300,1, , ,98,10.9, ,13.4, ,6,1,3,1
98,2,49,9,2,6,5,2,1,2020,3, ,2200,2, , , , , , , , , , , 
1,1,51,1,2,6,8,7,1,2022,5, , , , , , , , , , , ,1, ,2
1,1,54,8,2,6,7,6,1,2014,1, ,3300,1, , , , , , , , , , , 
2,1,49,1,2,5,12,12,1,2013,4,1,3000,1, , , , , , , , , , , 
3,1,48,8,2,5,6,6,1,2013,2, ,2000, , , , , , , , , , , , 
4,1,47,14,1,1,8,8,1,2019,1, ,2000, , , , , , , , , , , , 
2,1,60,1,1,1,4,4,1,2022,1, ,1000,1, , , , , , , , ,3, ,1
98,1,45,8,2,5,7,99,1,2023,5, , , , , , , , , , , ,1, ,1
3,1,68,1,2,7,5,4,1,2013,3, ,2000,2,5, , , , , , , , , , 
1,1,65,1,2,7,9,3,1,2022,1, ,2500,3, ,10.7, ,10, ,15, ,7,2, , 
3,1,43,8,2,2,4,4,1,2013,3, ,2000, , , , , , , , , , , , 
98,1,44,1,2,3,10,4,1,2021,1, ,3600,3, ,8.3, ,7, ,12, ,10,4, , 
5,1,54,8,1,1,3,3,1,2013,3, ,2000,1,5, , , , , , , , , , 
4,1,54,5,2,5,4,4,1,2013,2, ,2000, , , , , , , , , , , , 
1,1,64,1,2,6,6,5,1,2020,1, ,2400,3, , , , , , , , , , , 
98,1,53,4,2,6,8,4,1,2017,1, ,2000, , , , , , , , , , , , 
3,1,48,1,1,1,4,4,1,2018,1, ,1600, , , , , , , , , , , , 
98,1,47,13,2,5,5,3,1,2016,3, ,2000,1,7, , , , , , , , , , 
98,1,47,4,2,5,5,5,1,2018,1, ,1000, , , , , , , , , , , , 
1,1,52,1,2,6,11,10,1,2022,1, ,2500,1, ,14.1, ,12.2, ,20.1, ,6,1,4, 
98,2,57,8,2,6,5,98,1,2018,1, ,3000,3, , , , , , , , , , , 
4,1,50,1,2,5,11,11,1,2017,1, ,3000,1, , , , , , , , , , , 
5,1,58,8,2,6,10,4,1,2013,1, ,3000,1, , , , , , , , , , , 
2,1,47,11,1,1,10,10,1,2020,3, ,2200,1,5, , , , , , , , , , 
1,1,63,8,2,7,5,5,1,2017,1, ,3600,1, , , , , , , , , , , 
3,1,66,8,2,6,11,4,1,2015,1, ,1600, , , , , , , , , , , , 
