SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q03,Q0301,Q0302,Q030301,Q030302,Q0307,Q030801,MQ030902,Q030902
1,1,30,1,1,1,4,4,1,2022,1, ,5001,1, ,1,5,22,13,3,1,1,10000, 
98,2,42,8,2,5,7,3,1,2024,4,1,1600,3,6,3,98,9,12,1,2,99,4800, 
98,2,45,8,2,5,8,3,1,2024,4,1,1600,1,7,2,9,20,9,1,8,7,4600, 
98,2,46,8,2,5,8,4,1,2023,1, ,3600,3, ,3,4,19,9,1,1,14,8500, 
98,2,56,14,2,6,9,5,1,2023,1, ,1600,1, ,4, , , , , , , , 
3,1,46,2,2,4,6,5,1,2022,1, ,2000,1, ,3,8,9,17,1,99,5,5000, 
98,1,43,2,2,5,4,3,1,2024,4,1,1600,1,6,2,12,27,20,1,8,6,4600, 
1,1,54,8,2,6,11,11,1,2023,1, ,1500,1, ,1,5,97,97,1, , ,3390, 
4,1,48,2,2,5,6,5,1,2022,1, ,2000,1, ,1,12,3,7,1,8,7,6300, 
98,1,41,2,1,1,3,3,1,2023,4,1,1600,1,5,1,12,26,13,1,8,7,4700, 
98,1,69,14,2,6,3,3,1,2024,1, ,1600,1, ,1,9,18,30,1,8,5,3000, 
98,1,60,1,2,6,5,3,1,2023,1, ,1600,1, ,3,6,6,8,1,8,5, ,99
98,1,56,14,2,6,8,6,1,2024,1, ,1600,1, ,1,10,9,22,1,1,8,3431, 
98,2,60,13,2,6,8,5,1,2023,1, ,2200,1, ,3,6,21,13,1,1,13, , 
98,2,52,1,2,5,5,99,1,2021,4,1,1800,1, ,4, , , , , , , , 
98,2,45,4,2,5,7,3,1,2024,4,1,1600,1,7,3,8,16,13,1, , ,5300, 
98,1,20,8,1,6,4,1,1,2023,4,1,1600,3,6,4, , , , , , , , 
98,1,54,1,1,1,7,7,1,2023,3, ,3000,3, ,1,9,6,12,1,1,13, , 
3,1,41,8,2,2,10,7,1,2021,4,2,2000,1, ,1,7,3,21,1,2,8,8370, 
98,1,51,8,2,3,5,3,1,2023,1, ,1300,1, ,1,9,27,9,1,8,5,3300, 
98,1,53,5,2,6,7,5,1,2023,1, ,2500,3,5,2,12,19,13,1,2,8,7500, 
5,1,40,8,2,4,5,4,1,2022,1, ,1500,1, ,2,9,10,22,3, , ,4980, 
98,2,54,15,2,6,9,3,1,2023,1, ,3800,1, ,1,11,27,2,1,1,8, ,99
4,2,27,6,1,1,2,2,1,2023,1, ,1600,3, ,4, , , , , , , , 
3,2,30,11,2,2,6,3,1,2022,1, ,2500,1, ,3,10,18,28,1,9,99, ,99
98,1,32,8,1,1,4,4,1,2023,1, ,2000,1, ,2,6,22,9,3,8,6,3000, 
98,1,31,9,1,1,3,3,1,2021,1, ,2000,3, ,4, , , , , , , , 
1,1,54,10,2,4,5,4,1,2022,1, ,2000,1, ,2,3,17,12,1,2,6,7000, 
98,2,27,2,1,6,99,4,1,2024,1, ,1600, , ,2,1,21,20,1, , ,2300, 
98,1,46,6,2,4,4,4,1,2023,3, ,1600,1, ,1,6,21,97,1,99,99,4000, 
98,1,52,2,2,5,5,3,1,2023,2, ,1000, ,5,2,12,18,29,2,10,2,1800, 
98,2,47,7,2,6,4,98,1,2024,4,1,2000, , ,3,4,8,29,1,8,6,4000, 
98,1,37,15,1,6,3,2,1,2023,1, ,2000,1, ,2,12,22,30,1,99,3,3250, 
1,2,65,15,2,7,11,2,1,2024,1, ,2000,1, ,4, , , , , , , , 
5,2,33,1,1,6,6,3,1,2024,4,1,1600,1, ,1,6,3,13,1,9,99,3300, 
98,2,54,7,2,7,8,3,1,2024,1, ,3000,3,5,3,4,1,20,2,99,99, ,99
5,1,50,13,2,5,10,5,1,2024,1, ,1600,1, ,3,4,21,26,1,1,6,3400, 
98,1,63,8,2,7,7,7,1,2023,4,1,2500,1, ,2,4,27,20,1,1,8,6200, 
98,2,55,15,2,6,7,1,1,2023,2, ,3500,1, ,4, , , , , , , , 
98,2,58,8,2,6,5,3,1,2024,1, ,2500,1, ,4, , , , , , , , 
98,1,37,8,1,6,99,3,1,2024,4,1,1600,1, ,1,4,7,25,1,4,7,4000, 
4,2,43,5,2,5,8,99,1,2023,1, ,3800,3,8,3,13,22,30,1,99,5,4500, 
98,1,51,8,2,5,11,6,1,2023,4,1,1600,1,6,2,7,8,16,1,8,6,5200, 
4,2,52,1,2,6,10,4,1,2024,3, ,3800,3,7,4, , , , , , , , 
98,2,63,12,2,6,4,1,1,2023,5, , , , ,3,99,22,1,2, , ,6073, 
98,2,36,8,1,1,3,3,1,2023,1, ,1600, , ,1,6,19,17,3,9,8,2733, 
98,2,33,8,2,2,4,2,1,2024,4,1,1600,1,5,1,1,21,20,1,8,7,4500, 
3,1,55,1,2,6,11,11,1,2023,5, , , , ,4, , , , , , , , 
98,2,40,15,2,5,4,99,1,2023,1, ,2000,1, ,3,7,8,20,3,4,6,3900, 
98,2,51,14,2,6,6,2,1,2024,1, ,1000,1, ,2,10,22,13,2,10,5,1500, 
98,1,48,1,2,4,11,3,1,2021,3, ,3000,3, ,3,9,19,13,1,99,7,12000, 
98,1,66,12,2,6,2,2,1,2023,1, ,1000,1, ,1,5,1,18,2,1,99,1430, 
98,1,69,8,2,7,4,3,1,2021,4,2,3000,3, ,1,3,8,7,1,99,3, , 
98,1,57,5,2,6,5,5,1,2023,1, ,2000, , ,2,12,21,26,1,8,8,3200, 
1,1,48,8,2,5,12,8,1,2023,5, , , , ,1,7,27,6,1,8,8, , 
98,1,39,1,2,4,8,6,1,2024,1, ,2000,1, ,1,2,27,13,1,1,13,7376, 
98,2,54,15,2,6,2,2,1,2023,1, ,1000, ,5,2,99,22,14,1,99,4,1900, 
4,2,45,8,2,5,7,6,1,2022,5, , , , ,3,11,22,21,2, , ,5999, 
5,1,27,8,1,1,3,3,1,2023,1, ,1000, ,5,1,4,22,17,1,8,5,1900, 
98,1,69,8, , , , ,1,2022,1, ,2000,3, ,2,9,5,25,1,2,7,9800, 
3,1,29,1,1,1,4,4,1,2023,3, ,2200,2, ,3,99,17,30,1,99,99, ,99
98,1,38,7, , , , ,1,2023,1, ,2500,1,5,1,9,5,28,1, , ,3750, 
98,1,70,9,2,7,2,2,1,2023,4,1,1600,1, ,2,7,18,20,1, , ,4000, 
98,2,57,3,97,1,2,2,1,2023,1, ,1600,3, ,2,13,18,24,1,9,99, ,99
98,1,52,1,2,5,11,10,1,2024,1, ,2500,1, ,2,7,26,20,1,1,8,5000, 
5,1,37,11,2,2,6,4,1,2023,1, ,1600,1, ,3,10,20,13,1,1,12,4900, 
98,2,50,8,2,6,5,1,1,2024,4,1,1600,1, ,2,7,27,20,1,8,99,3300, 
5,1,50,8,2,5,8,6,1,2024,3, ,2000,1, ,2,4,3,20,1,1,14,5217, 
98,1,53,1,2,5,11,9,1,2023,1, ,2500,1, ,1,2,7,14,3, , , , 
98,2,30,6,1,1,3,3,1,2023,4,1,1600,1, ,3,99,22,25,3, , ,4070, 
98,1,40,4,1,1,6,6,1,2024,4,1,1600,1, ,1,6,22,20,1,1,10,3600, 
4,1,70,9,2,7,11,5,1,2024,1, ,1600, , ,2,12,18,16,1,8,2,3180, 
2,1,45,8,2,4,7,4,1,2024,4,1,1600,1,9,1,5,16,20,1, , , , 
3,2,58,8,2,6,5,3,1,2023,1, ,3000,3, ,3,13,13,7,1,1,7,10000, 
98,1,32,8,2,4,4,2,1,2024,5, , , , ,1,3,8,26,3,1,14,9290, 
2,1,48,1,2,6,4,3,1,2023,1, ,2000, , ,2,1,15,17,2,6,2,3890, 
1,1,38,8,2,4,8,4,1,2024,1, ,2500,3, ,2,12,3,2,1,8,7,6500, 
98,1,64,8,2,6,10,4,1,2024,2, ,2000, , ,1,2,21,1,1,3,2,2600, 
5,2,60,1, , , , ,1,2024,2, ,2000, , ,3,6,5,17,1,8,6, ,99
1,2,43,1,1,1,13,13,1,2023,5, , , , ,2,11,22,2,1,11,1,6870, 
98,1,38,13,2,4,4,3,1,2024,4,1,1600,1,5,1,6,8,26,1,99,7,4570, 
4,1,51,8,2,5,10,10,1,2023,4,1,1600,1, ,1,7,27,8,1,2,5,5800, 
98,2,36,9,2,4,7,1,1,2024,1, ,2000,1, ,3,3,21,1,1,1,13,7200, 
98,2,36,17,1,1,12,12,1,2024,1, ,4000,3, ,1,12,25,17,2,12,7,35100, 
1,2,62,11,2,6,11,7,1,2024,1, ,2500,3, ,2,12,25,25,1,99,99,7300, 
98,1,38,8,2,5,5,5,1,2021,5, , , , ,2,6,8,8,2, , ,7800, 
5,2,47,2,2,6,6,3,1,2023,4,1,1600,1, ,2,12,27,1,1,8,4,4500, 
4,1,65,8,2,6,9,6,1,2023,1, ,2000,1,5,3,2,19,30,1,2,2,3600, 
3,2,51,1,2,2,10,8,1,2023,3, ,2000,1, ,4, , , , , , , , 
98,2,44,1,2,3,10,5,1,2022,3, ,2000,3, ,2,9,18,13,1,2,8,8500, 
98,2,39,2,2,4,11,8,1,2024,1, ,3000,1,5,3,10,20,26,1,8,7, ,99
98,1,48,1,2,5,10,4,1,2022,1, ,2000,3, ,3,98,8,7,1, , ,7100, 
98,1,58,2,2,6,5,99,1,2024,1, ,1600,1, ,1,12,9,8,1,8,7,3800, 
5,1,49,5,2,3,8,6,1,2022,1, ,2000,3, ,2,10,27,28,3,8,99,9800, 
4,2,55,10,2,6,6,2,1,2023,4,1,1600,1, ,3,9,19,28,1,2,6,3142, 
1,2,52,1,1,1,6,6,1,2024,1, ,2500,3, ,2,5,13,23,3,2,9, ,99
98,2,36,8,1,6,7,3,1,2024,1, ,2000, , ,1,10,8,13,1,8,6,3600, 
98,2,51,11,2,6,99,2,1,2023,1, ,1600, , ,2,11,17,1,1,2,99,2600, 
3,1,40,1,2,4,7,4,1,2023,1, ,2000,1, ,2,4,27,30,1,1,11,4000, 
98,2,48,1,2,5,2,2,1,2023,1, ,2000,1, ,3,3,21,97,1,8,5, , 
98,2,68,11,2,7,4,1,1,2024,1, ,1600,3, ,2,1,18,25,1,99,99,3078, 
4,2,52,2,2,6,5,3,1,2024,4,1,1600,1, ,3,9,2,26,1,1,6,3500, 
5,1,43,8,2,4,9,5,1,2024,1, ,3600,3, ,2,3,15,1,1,99,6,5700, 
4,1,48,8,2,5,4,4,1,2023,4,1,2000, , ,1,9,21,20,1,9,9, ,99
3,1,46,10,2,5,5,3,1,2024,1, ,3600,3, ,2,9,8,9,1,8,5,5573, 
2,2,26,2,1,1,2,2,1,2023,4,1,2000, , ,1,2,9,14,1,99,2,3500, 
1,1,61,4,2,6,13,11,1,2021,4,2,2000,3, ,2,7,5,28,1, , ,8370, 
4,2,23,9,1,6,5,2,1,2023,5, , , , ,2,6,9,20,1,1,2,4100, 
98,1,36,10,1,1,3,3,1,2022,5, , , , ,1,6,18,18,2, , ,5500, 
98,1,45,8,97,5,4,4,1,2024,1, ,2500,3, ,1,3,3,13,1,2,7,6700, 
4,2,43,7,2,5,9,3,1,2021,1, ,2000,3, ,2,8,19,7,1,99,7,7800, 
98,2,40,1,2,5,6,3,1,2023,1, ,1600,1, ,2,4,5,9,1,8,5,3500, 
98,1,61,15,2,7,4,4,1,2023,1, ,1300,1, ,1,6,9,17,3,2,1,2400, 
2,1,53,1,2,6,9,7,1,2024,1, ,3500,3,7,3,8,2,26,2,9,8,10814, 
4,1,47,2,2,5,10,8,1,2024,1, ,3000,1, ,1,11,9,13,1, , ,17500, 
4,1,47,8,2,5,10,10,1,2023,1, ,3000,3, ,2,6,19,11,1,99,5,7237, 
2,1,51,1,2,5,12,11,1,2022,1, ,1500,1, ,1,1,19,26,1,2,99,5963, 
4,1,46,10,2,5,6,3,1,2023,1, ,2000,1, ,2,7,21,24,1,4,5,4100, 
1,1,57,1,2,6,12,11,1,2024,1, ,1600,1, ,2,12,26,16,1,10,5,3700, 
1,2,32,8,2,4,5,2,1,2023,5, , , , ,3,11,27,26,1, , ,5299, 
98,1,43,1,2,5,6,5,1,2023,1, ,2300,3, ,2,11,3,7,1,13,13,5800, 
5,2,43,11,1,1,4,4,1,2024,5, , , , ,1,13,7,20,1,8,99,5260, 
3,1,43,4,2,3,10,5,1,2023,1, ,2700,2, ,2,9,3,13,1,99,5,6900, 
98,2,50,1,1,1,4,4,1,2024,4,1,1600,1, ,1,99,21,16,1,99,2,3600, 
98,2,40,8,1,6,7,4,1,2023,1, ,1600,1, ,2,98,2,13,1,8,7,3229, 
98,1,43,8,2,5,5,5,1,2024,5, , , , ,1,12,8,8,2, , , , 
1,2,40,5,1,1,6,6,1,2023,1, ,1000, ,5,2,5,3,30,1,99,3,1560, 
5,1,49,1,2,6,9,8,1,2024,1, ,2500,1, ,2,7,2,20,1, , , , 
98,2,36,2,2,4,4,2,1,2023,1, ,2500,1,6,3,10,21,26,1,8,99,4500, 
5,1,65,4,2,7,6,6,1,2024,4,1,1600,3,5,1,9,21,1,1,99,99,4300, 
98,1,41,8,2,4,10,7,1,2024,4,1,1600,1,5,2,10,22,9,1, , ,4300, 
5,1,48,8,2,5,11,11,1,2022,1, ,4000,3, ,1,3,4,2,1, , , , 
98,2,49,8, , , , ,1,2023,4,1,1600, , ,2,4,19,20,1,9,8,3000, 
2,1,43,8,2,5,10,6,1,2021,1, ,1800,1, ,1,7,17,23,1,1,11,7000, 
98,1,46,8,2,3,9,6,1,2023,5, , , , ,2,9,3,20,1,9,14,5690, 
98,1,43,12,1,6,3,3,1,2023,1, ,1500,1, ,1,6,10,24,1,8,5,3000, 
98,2,41,8,2,4,4,98,1,2024,1, ,1000, ,5,2,9,10,30,1,99,99,1970, 
98,1,49,1,2,5,10,7,1,2023,1, ,2700,3, ,2,3,19,13,1,1,13,7000, 
4,1,48,1,2,5,10,4,1,2023,1, ,3800,3,8,2,6,18,22,1,8,5,5000, 
98,1,66,12,2,6,5,3,1,2024,1, ,1600, , ,1,7,22,25,1,8,3,2654, 
98,1,60,8,2,6,8,8,1,2024,5, , , , ,1,4,10,29,2,99,7,6000, 
5,2,54,1,97,1,4,4,1,2023,4,1,1600,1, ,1,4,5,25,1,2,99,3579, 
4,1,51,11,2,5,9,6,1,2022,3, ,2000,1, ,2,6,21,13,1,99,99,5217, 
98,1,44,5,2,4,10,4,1,2024,5, , , , ,2,2,27,17,1,99,6,4980, 
5,1,41,8,2,5,5,5,1,2023,5, , , , ,2,12,8,13,2,99,9,16000, 
98,1,65,8,2,6,5,4,1,2021,5, , , , ,3,4,8,7,1, , ,5900, 
3,1,53,8,2,5,11,6,1,2023,1, ,5001,3, ,1,11,20,16,1,2,10,15000, 
98,1,41,1,2,4,8,4,1,2022,1, ,2000,1, ,1,6,8,13,3,1,14,6630, 
4,1,54,10,2,6,6,6,1,2024,1, ,1600,1, ,1,3,14,4,1,99,3,4415, 
98,2,57,8,2,6,8,2,1,2024,1, ,2500,1, ,3,9,19,17,1,8,3,3400, 
1,2,42,1,1,6,13,13,1,2022,1, ,2800,2, ,1,3,28,7,1,6,11,7600, 
2,1,68,1,2,7,6,4,1,2022,1, ,2000,3, ,2,12,27,8,1,1,9,6640, 
98,1,51,8,1,1,4,4,1,2023,1, ,2500,1,6,1,3,8,9,1,9,5,4500, 
1,1,42,1,1,4,2,2,1,2023,3, ,3500,1,9,1,10,7,15,2, , , , 
98,1,49,4,2,5,8,6,1,2022,5, , , , ,1,4,20,29,1, , ,6500, 
2,1,46,12, , , , ,1,2021,3, ,3000,3, ,1,3,7,6,1,1,14, , 
5,1,50,5,2,5,9,6,1,2023,5, , , ,5,2,11,8,29,1,9,4,2735, 
98,1,39,8,2,3,10,98,1,2023,4,1,2400,3, ,1,99,8,22,1,99,1,5020, 
98,1,46,15,2,4,7,5,1,2023,4,1,1600,1, ,2,7,9,20,3,8,7,4000, 
5,1,51,8,2,5,12,11,1,2022,1, ,3500,3, ,2,12,21,2,1,8,7,14500, 
2,1,54,1,2,5,12,12,1,2022,3, ,3000,2, ,1,7,27,20,1,2,7,16620, 
98,1,48,8,2,5,4,4,1,2024,1, ,1600, , ,2,4,20,14,3,8,7,3714, 
3,1,63,1, , , , ,1,2021,3, ,3000,3, ,2,4,4,2,1,8,7, ,99
98,1,43,4,2,4,5,4,1,2024,4,1,1600,1,7,1,99,9,20,1,9,8,5150, 
98,1,64,6,2,6,7,5,1,2024,1, ,2000, , ,1,12,97,23,1,99,8,3700, 
2,1,62,8,2,6,11,4,1,2022,5, , , , ,2,9,7,23,1,99,9,4700, 
4,1,38,8,1,1,6,6,1,2023,4,2,2400,3, ,1,7,5,21,1,9,3,5600, 
98,1,64,13,2,6,10,7,1,2023,1, ,2000,1, ,1,99,27,13,1,1,5,7072, 
2,1,53,8,1,1,8,8,1,2021,4,2,2000,1, ,1,4,3,20,1,1,14,7400, 
4,1,49,7,2,5,9,6,1,2024,1, ,1600,1, ,1,7,8,16,2,8,99,3800, 
4,1,36,8,2,4,4,3,1,2023,4,1,1600,1, ,3,7,21,29,1,8,3,4000, 
4,1,45,2,2,5,8,5,1,2023,4,1,1600,1, ,3,7,5,20,1,8,6,4715, 
98,1,34,3, , , , ,1,2023,3, ,2000,3, ,1,6,6,2,2, , ,6090, 
3,1,67,1,97,6,6,3,1,2022,1, ,2300,1, ,3,1,9,25,1,1,5,7200, 
4,1,52,4, , , , ,1,2021,5, , , , ,1,13,3,16,2, , ,6500, 
3,1,67,10,2,7,6,4,1,2024,1, ,2500,1, ,2,12,13,26,3,2,8,6100, 
5,1,53,8,97,1,5,5,1,2022,4,1,2000,3, ,1,2,27,24,1,8,6,4850, 
3,1,30,1,1,7,6,6,1,2023,4,1,2000, , ,2,6,3,15,2,11,8, ,99
98,1,69,6,2,7,5,3,1,2024,3, ,2200,1,9,1,7,9,30,1,99,3,5000, 
5,1,56,8,2,5,4,3,1,2023,1, ,2000,3, ,2,6,20,17,1,1,14,7072, 
4,1,50,10,2,5,9,6,1,2023,4,1,1600,1,5,2,10,3,7,1, , ,4800, 
98,2,36,2,2,4,10,4,1,2022,1, ,3000,3, ,3,3,20,2,1,8,7,9000, 
5,1,51,1,2,6,10,10,1,2022,3, ,2000,1, ,2,9,20,20,3,2,11,5217, 
3,1,43,1,2,4,11,7,1,2021,3, ,3000,3, ,1,12,19,8,1,1,14,7072, 
2,1,54,2, , , , ,1,2023,5, , , ,6,1,6,2,29,2,3,12,9152, 
98,1,67,8,2,6,8,4,1,2023,2, ,1500,1, ,2,9,6,26,1,1,3,3600, 
98,2,46,1,2,5,9,1,1,2024,3, ,2000,3, ,2,13,19,13,1,99,99, ,99
98,2,41,1,2,4,12,11,1,2023,1, ,2000,3, ,2,2,27,26,1,97,7,8000, 
4,2,34,3,2,4,4,98,1,2023,1, ,2000,1,5,2,6,22,24,1,1,99,3470, 
1,1,55,8,2,6,5,4,1,2023,3, ,2000,3, ,2,3,5,24,1,6,5,4500, 
98,1,63,1,2,6,11,4,1,2024,1, ,1600,1, ,2,3,22,30,1,2,5,2147, 
98,1,59,6,2,6,9,5,1,2024,4,1,1600,1, ,2,3,27,29,3,99,99,5200, 
5,1,55,2,2,6,6,4,1,2024,4,1,1600,1,5,2,10,21,30,1,2,6,4300, 
5,1,26,8,1,6,13,10,1,2023,1, ,2700,1, ,2,2,18,6,1,1,13,7400, 
3,1,65,8,2,6,5,4,1,2024,4,1,1600,1, ,4, , , , , , , , 
4,1,51,2,2,6,5,4,1,2021,1, ,1500,1, ,2,8,8,22,1,13,11,3690, 
5,1,66,10,2,6,8,8,1,2023,1, ,2500,1, ,1,99,10,20,2,2,8,5500, 
98,1,43,1,2,5,8,4,1,2024,1, ,2500,1,7,3,12,21,9,1,2,5,4300, 
98,2,55,8,2,6,5,1,1,2024,5, , , , ,3,2,27,18,2, , ,5299, 
98,1,35,15,2,2,5,4,1,2021,3, ,2000,1, ,1,7,3,24,1,1,14,3916, 
98,1,62,15,2,6,7,5,1,2024,1, ,1600, , ,2,3,2,25,1,9,3, ,99
98,2,55,8,2,5,6,2,1,2023,1, ,2500,3, ,1,13,8,7,1,99,99,6000, 
98,1,57,11,2,5,8,6,1,2023,1, ,2500,1, ,2,13,18,28,3, , ,3800, 
2,2,42,8,2,2,6,2,1,2023,3, ,2200,3, ,3,2,8,22,1,11,1,8030, 
98,2,34,1,2,2,99,99,1,2024,5, , , , ,2,2,8,7,2, , ,5199, 
98,2,51,2,2,5,6,3,1,2023,4,1,1600,1,7,3,9,9,7,1,8,99,4500, 
98,1,42,5,1,5,7,4,1,2024,4,1,1600,1,5,1,98,17,22,1,99,1,3900, 
98,1,56,9,97,6,5,5,1,2024,1, ,1600,1, ,1,4,27,10,2,2,7,3800, 
5,1,56,14,2,5,12,5,1,2024,1, ,2500,1, ,2,10,5,7,3, , , , 
98,1,46,2,2,5,8,8,1,2022,5, , , , ,1,9,4,2,2, , ,8000, 
4,1,56,1,2,6,10,6,1,2023,4,1,1600,1, ,2,8,1,21,1,8,6,5300, 
3,1,53,8,2,5,9,9,1,2023,5, , , , ,1,7,4,22,2, , ,6999, 
2,2,47,5,2,5,6,3,1,2023,1, ,2000,3, ,3,13,19,17,1,4,99, ,99
4,1,49,14,2,6,8,6,1,2023,4,1,2500,1, ,2,8,8,22,1,99,99,7160, 
5,1,48,1,2,5,6,5,1,2023,1, ,2200,1,9,2,13,5,9,1,99,99,4000, 
2,2,54,1,2,6,6,99,1,2022,1, ,2000,1, ,3,8,27,13,1,99,7,8000, 
5,1,52,8,2,5,8,8,1,2023,1, ,1300,1, ,3,2,22,28,1,99,2, ,99
2,2,45,8,2,5,9,3,1,2024,1, ,2500,1, ,3,4,20,10,1,1,99,5700, 
98,1,46,3,2,5,10,8,1,2024,4,1,2500,3, ,1,3,8,24,1,8,5,5810, 
98,1,44,15,2,5,4,4,1,2023,5, , , , ,1,6,27,29,2,99,2,4490, 
98,2,51,8,2,6,6,3,1,2024,4,1,1600,1, ,3,7,8,20,1,99,3,3500, 
1,1,35,1,1,5,4,3,1,2024,1, ,2200,1, ,1,5,15,14,2,6,6,6549, 
4,2,32,1,2,4,6,98,1,2022,3, ,2000,1, ,2,12,19,28,1,9,11,5190, 
98,1,64,8,2,7,10,10,1,2024,4,1,1600,1, ,1,13,21,20,1,9,5,4924, 
4,1,50,1,2,4,11,3,1,2023,1, ,3500,3, ,3,99,21,26,1, , ,13000, 
98,1,47,1,2,5,13,13,1,2023,1, ,2000,3, ,2,11,8,2,1,1,14,7300, 
98,1,53,4,2,6,7,4,1,2022,3, ,2000,3, ,2,6,8,28,1,1,14,7072, 
98,2,42,17,97,5,2,1,1,2024,1, ,1000,1, ,2,99,27,28,2,8,99,1600, 
98,1,41,8,2,5,6,4,1,2023,1, ,1600,1, ,2,4,27,13,1,9,2,3900, 
98,2,54,11,1,1,5,5,1,2023,1, ,2000,1, ,2,1,22,7,1,7,7,4900, 
4,1,34,8,1,1,4,4,1,2023,4,1,1600,1, ,1,4,27,20,1,2,7,3750, 
98,1,51,3,2,3,7,4,1,2023,1, ,1500,1, ,1,6,8,13,1,4,4,3450, 
5,1,65,10,2,7,5,5,1,2023,5, , , , ,2,9,8,8,2, , ,7300, 
1,1,60,6,2,6,7,3,1,2024,6, , ,1, ,3,99,22,29,1,1,7,6890, 
98,1,50,8,2,5,8,6,1,2024,4,1,2000, , ,2,7,18,20,1,8,6,3800, 
3,1,43,4,2,5,9,7,1,2023,4,1,1600,1,6,2,7,7,20,3,8,7,5100, 
5,1,57,1,2,5,10,6,1,2024,4,1,1600,1, ,2,7,8,17,1,1,5,3400, 
3,2,44,8,97,5,5,5,1,2022,1, ,2000,1, ,1,3,9,1,1,13,9,5000, 
98,1,45,12,2,5,3,3,1,2024,4,1,1600,1, ,2,9,8,25,1,9,99,4000, 
1,1,61,1,2,7,10,7,1,2024,1, ,2500,3, ,2,8,27,26,1,3,5,5600, 
98,1,59,4,2,6,4,2,1,2024,1, ,2000,1, ,2,9,1,17,1,1,14,5531, 
3,1,53,5,2,6,10,5,1,2023,1, ,3500,1, ,2,5,21,24,1,1,2,5500, 
3,1,47,15,2,5,8,8,1,2024,1, ,3800,3, ,1,4,3,23,3,6,99,6190, 
2,1,49,9,2,5,9,5,1,2022,1, ,2000,3, ,2,3,20,14,1, , ,6200, 
2,1,62,2,97,1,5,5,1,2024,3, ,2200,1,11,1,12,18,19,1, , , , 
98,1,57,8,2,6,12,10,1,2024,1, ,2500,3, ,2,12,1,25,1,11,7,7000, 
98,1,67,6,2,7,7,5,1,2023,4,1,1600,1, ,1,6,5,13,1,8,99,4700, 
98,2,51,6,2,6,10,3,1,2024,1, ,2500,1, ,2,4,27,20,1,3,7,4760, 
3,1,62,8,2,7,99,99,1,2024,1, ,3600,3, ,2,11,19,30,1,1,99, ,99
98,2,68,5,2,6,9,3,1,2023,1, ,1000,1, ,4, , , , , , , , 
4,1,49,1,2,5,13,11,1,2021,4,2,3000,3, ,2,12,8,25,1,99,9,16000, 
98,1,43,8,2,5,10,6,1,2022,4,1,3500,3, ,1,3,22,22,1,99,10,9160, 
1,1,33,8,2,3,6,3,1,2023,1, ,2000,1, ,2,3,20,2,1,1,13,5200, 
3,1,50,8,2,5,7,7,1,2023,1, ,2500,1,5,2,9,4,7,1,99,5,3400, 
2,1,62,1,2,7,10,10,1,2023,1, ,3500,3, ,2,8,9,8,1,8,8,13500, 
1,1,62,3,2,6,13,13,1,2023,5, , , , ,1,4,21,21,1,3,7,5200, 
98,1,50,8,2,5,10,7,1,2023,1, ,3300,3, ,1,9,18,8,1, , ,7300, 
3,1,43,8,1,1,5,5,1,2023,1, ,2000,1, ,1,7,16,9,1,8,5,7990, 
98,1,61,2,2,6,3,3,1,2024,1, ,2500,3, ,1,1,17,7,1,9,5,4270, 
98,1,62,8,2,7,10,4,1,2021,3, ,3000,3, ,1,7,7,17,1,1,99, ,99
98,1,63,10,2,7,3,3,1,2024,1, ,1600,1, ,2,4,5,24,1,8,1,2800, 
98,1,38,8,2,4,3,99,1,2023,4,1,1600,1,7,1,12,18,12,2,2,7,5000, 
1,1,40,4,2,5,3,3,1,2023,5, , , , ,1,99,6,25,1,1,5, ,99
4,1,53,8,1,1,8,8,1,2022,5, , , , ,1,12,27,7,1, , , , 
3,1,44,8,2,5,12,12,1,2023,3, ,2200,1,9,1,10,1,18,3, , , , 
5,1,59,1,2,6,8,4,1,2021,1, ,2000,3, ,1,7,3,7,1,1,13,5120, 
98,1,55,1,2,6,9,6,1,2023,1, ,2500,3,5,1,2,1,13,3,99,1,8000, 
98,1,45,1, , , , ,1,2023,1, ,2000,3, ,2,3,20,13,1,1,11,7000, 
2,1,65,14, , , , ,1,2022,1, ,2400,3, ,1,8,21,19,1,99,2, ,99
5,1,59,8,2,6,5,5,1,2022,1, ,2000,1, ,1,12,26,9,1,99,99,3614, 
98,1,46,10,2,3,4,2,1,2024,1, ,2500,1,5,1,7,8,11,1,8,99,4637, 
98,1,57,3, , , , ,1,2023,4,1,1600,1, ,1,12,19,20,1,8,3,5600, 
98,1,51,11,2,6,11,4,1,2023,5, , , , ,1,6,22,20,1,99,5,4980, 
98,1,51,8,2,5,6,5,1,2024,5, , , , ,1,99,8,8,2, , ,5700, 
98,1,46,8,2,5,8,5,1,2024,2, ,3500,1, ,3,4,8,26,1,8,7,4777, 
4,1,49,6,2,4,7,5,1,2023,1, ,3500,1,9,1,9,18,14,1,1,7,6500, 
5,1,64,8,2,6,9,5,1,2024,4,1,1600,1,5,2,12,18,25,1,8,7,4363, 
98,1,65,8,2,7,7,7,1,2024,4,1,1600,1, ,1,13,1,28,1, , , , 
98,1,44,8,2,5,4,4,1,2023,1, ,2000,3, ,2,98,1,7,1,8,5,6290, 
