SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q03,Q0301,Q0302,Q030301,Q030302,Q0307,Q030801,MQ030902,Q030902
98,1,43,1,2,4,6,5,1,2023,5, , , , ,2,98,7,25,2,1,6,5699, 
98,1,48,4,2,5,9,5,1,2024,4,1,2000, , ,2,4,21,28,1,2,7,4318, 
98,1,48,8,2,4,3,3,1,2024,4,1,1600,3, ,2,99,97,1,1,10,99,3700, 
4,1,51,1,1,1,5,5,1,2022,5, , , , ,1,10,8,21,2, , ,8300, 
98,1,53,12,2,6,5,4,1,2023,1, ,2000,1, ,1,6,22,7,1,1,12,7000, 
5,1,41,9,97,5,4,4,1,2023,4,1,1600,1,6,1,12,17,25,3,2,7,4700, 
5,1,35,15,2,4,7,3,1,2023,1, ,1300,1, ,2,4,19,12,1,8,7,2710, 
5,2,24,10,1,1,99,99,1,2023,1, ,1000, ,5,2,1,19,18,1,9,99,2000, 
2,2,71,1,2,7,9,2,1,2024,4,1,1600,1, ,3,4,22,29,1,99,99,4100, 
5,1,65,8,2,7,4,4,1,2024,1, ,2000, , ,2,9,22,28,1,10,99,3200, 
2,1,54,14,2,6,6,5,1,2023,3, ,1600,1, ,2,4,18,17,1,99,99,2850, 
4,1,59,2,2,6,3,3,1,2022,1, ,2000,1, ,2,8,5,2,1, , , ,99
2,1,35,14,2,4,5,3,1,2023,4,1,1600,1,7,2,7,3,16,1,8,7,4650, 
2,1,58,5,2,6,5,4,1,2023,1, ,2000,1, ,2,9,9,25,1,13,7,6900, 
5,1,58,4,2,6,8,4,1,2023,4,1,1600,1, ,1,13,1,28,3, , , , 
4,2,39,1,1,6,8,5,1,2023,1, ,1600,1, ,1,99,3,13,2,99,99,2200, 
5,1,50,1,97,5,5,5,1,2023,2, ,3500,3, ,2,99,1,6,3,1,7,4420, 
3,1,50,16,97,1,8,8,1,2023,5, , , , ,1,2,8,28,1,1,8,8110, 
98,1,41,9,1,6,99,99,1,2021,1, ,1500,1, ,1,11,8,13,1,99,8,4370, 
2,1,39,8,2,3,5,4,1,2023,1, ,1500,1, ,2,98,17,11,1,99,2,2800, 
2,2,54,1,2,6,5,5,1,2023,1, ,3500,3, ,1,11,22,25,1, , ,6000, 
5,1,41,4,2,4,5,5,1,2021,3, ,2000,1, ,2,4,8,25,1,1,13,4000, 
98,1,59,1,2,6,4,3,1,2024,3, ,2200,1,9,1,12,9,30,1,8,2,4300, 
98,2,36,8,1,6,6,2,1,2024,1, ,1600,1, ,1,4,1,17,1,9,5,2800, 
98,1,52,10,2,6,11,7,1,2023,1, ,2000,3, ,2,8,27,17,2,1,14,7072, 
2,1,38,8,2,3,7,4,1,2021,1, ,2000,3, ,2,8,22,13,1,1,11,5120, 
5,2,47,8,2,3,5,2,1,2023,1, ,2500,3, ,1,11,26,25,2,1,7,5500, 
5,2,25,8,1,6,11,3,1,2024,4,1,1600,3,5,3,11,17,20,1,1,99,3534, 
98,1,48,7,1,6,7,4,1,2024,1, ,1600, , ,1,7,8,5,1,1,5,3680, 
4,1,62,8,2,6,3,3,1,2023,1, ,1300, , ,1,12,9,20,1,99,5,3050, 
3,2,32,11,2,2,7,4,1,2023,5, , , , ,3,13,22,2,2, , ,5299, 
4,1,52,6,97,6,4,3,1,2023,5, , , , ,1,6,5,17,2,99,7,6500, 
3,1,48,8,2,5,8,6,1,2023,1, ,2500,1, ,2,99,8,10,1,8,3,5000, 
98,1,37,15,2,4,3,3,1,2024,1, ,1500,1, ,2,6,1,17,1,99,6,3150, 
4,1,41,3,2,4,8,8,1,2023,1, ,3600,3, ,2,11,8,9,1,13,11,8200, 
5,1,50,15,2,5,7,5,1,2023,5, , , ,7,2,6,8,29,1,1,14,7337, 
2,1,33,15,2,4,9,7,1,2023,1, ,1600,1, ,2,7,18,17,2,3,8, ,99
98,1,55,8,2,5,7,7,1,2024,4,1,1600,1,7,2,12,3,8,1,8,7,5000, 
98,1,56,2,97,1,11,11,1,2024,1, ,2500,1, ,1,12,7,23,1,8,3,6900, 
98,1,52,14,1,1,5,5,1,2022,5, , , , ,1,7,1,7,1,99,4,6865, 
98,1,43,1,1,1,5,5,1,2024,5, , , , ,1,99,8,13,1,8,6,4793, 
2,1,37,4,2,5,9,5,1,2022,1, ,2000,3, ,2,3,20,2,1,1,8,6640, 
98,2,48,1,1,1,3,3,1,2022,5, , , , ,2,6,19,7,1,11,2,7300, 
98,1,64,15,2,7,5,5,1,2023,5, , , , ,1,10,1,8,1,8,3,4980, 
5,1,44,5,2,4,12,11,1,2024,5, , , , ,1,4,3,7,2, , ,6127, 
5,1,36,1,2,2,7,4,1,2021,1, ,2000,1, ,2,6,8,12,1,8,7,5454, 
98,1,36,15,2,4,9,6,1,2024,1, ,3000,3, ,2,6,22,10,1,1,11,8600, 
1,1,48,2,2,5,8,4,1,2023,1, ,3500,1,9,1,4,6,30,3,9,7,5000, 
98,2,40,16,1,7,2,2,1,2023,1, ,1000,1, ,1,99,3,24,2, , ,1385, 
98,2,53,3,2,6,3,3,1,2024,1, ,2000,2, ,1,5,21,7,1,2,6,3100, 
3,1,47,5,2,4,6,5,1,2022,3, ,2000,1, ,2,13,20,8,1,1,3,5217, 
4,1,44,1,97,5,11,6,1,2021,5, , , , ,1,4,3,30,2, , ,7900, 
98,1,51,6,2,5,7,7,1,2024,1, ,2500,1, ,3,8,7,8,1,8,7,8000, 
98,1,55,8,2,6,5,5,1,2024,1, ,1600, , ,2,12,19,13,1,2,99,3890, 
5,1,33,4,2,4,5,4,1,2023,4,1,1600,1,6,1,4,8,29,2,9,7,5000, 
98,2,55,14,1,1,2,2,1,2023,5, , , , ,1,6,27,6,1,2,6,5260, 
3,2,43,1,2,3,8,1,1,2024,5, , , , ,3,11,3,8,2, , ,6275, 
98,1,45,8,2,5,8,8,1,2022,4,1,2500,1, ,1,11,8,20,1,6,8,6400, 
5,1,46,8,2,4,4,4,1,2023,1, ,2500,1, ,2,6,19,13,3,8,8,5900, 
98,1,65,8,2,6,9,6,1,2023,1, ,2500,1, ,1,12,8,13,2,1,7,7000, 
98,2,40,8,1,1,8,8,1,2021,1, ,2000,1, ,1,4,22,2,1,13,8,4500, 
3,1,49,1,2,5,7,7,1,2021,4,2,2000,1, ,2,10,18,28,1,4,7,8100, 
4,1,46,8,2,5,8,6,1,2023,1, ,1000, ,5,2,7,10,18,1,8,3,1900, 
1,1,43,1,2,3,10,5,1,2024,1, ,2500,3, ,1,99,20,13,1,2,99,5040, 
98,2,65,8,97,1,4,4,1,2024,1, ,1600, , ,2,6,18,17,1,8,1,2700, 
4,1,42,8,2,4,6,6,1,2023,1, ,2000,3, ,3,3,20,23,3,1,7, ,99
5,1,51,8,2,6,10,8,1,2023,4,1,1600,1, ,2,11,4,17,1,8,6,5601, 
98,1,39,1,2,4,10,7,1,2023,4,1,1600,1,6,2,8,5,16,1,2,6,5210, 
98,1,42,7,97,1,10,10,1,2023,1, ,2000,1, ,1,9,20,25,1,1,13,6630, 
98,1,60,1,2,6,7,4,1,2024,1, ,1600,1, ,2,3,18,22,1,8,8,3280, 
98,1,51,1, , , , ,1,2023,4,1,1600,1, ,1,7,18,20,1, , ,4200, 
98,1,52,10, , , , ,1,2023,1, ,2000,3, ,2,3,18,25,1,1,11,12180, 
98,1,50,1,2,5,3,2,1,2024,5, , , , ,1,13,27,21,3, , , , 
2,1,47,2,2,5,5,5,1,2022,1, ,2700,3, ,2,12,3,23,1, , ,7000, 
1,1,36,1,2,4,11,7,1,2024,1, ,2000,3, ,1,7,8,24,3,3,11,12200, 
98,1,39,8,1,1,3,3,1,2024,5, , , , ,1,6,3,17,1,1,13,5200, 
4,1,43,2,2,5,13,13,1,2022,5, , , , ,1,99,9,97,1,99,7,10160, 
98,1,56,3,2,6,7,6,1,2024,4,1,1600,1,5,2,12,20,8,1,1,6,5128, 
98,1,56,12,2,6,13,13,1,2024,1, ,2500,3,5,1,8,26,26,1,99,3,8500, 
98,1,44,2,2,4,6,5,1,2022,5, , , , ,2,3,3,21,2,7,9,6250, 
98,1,62,13,2,6,10,8,1,2023,4,1,1600,1, ,2,6,18,22,1,1,8,5300, 
98,1,45,8,97,5,6,6,1,2024,1, ,3000,1, ,1,10,8,1,3,1,14,7200, 
98,1,54,6,97,1,5,5,1,2024,4,1,1600,1, ,1,2,20,23,1,9,7,3600, 
1,2,44,15,2,5,6,4,1,2024,3, ,2200,2,5,2,6,21,6,1,7,8, ,99
1,1,56,1,1,1,11,11,1,2023,1, ,1600,1, ,2,12,22,17,1,99,99,3200, 
98,1,61,1,2,6,10,6,1,2024,1, ,3500,1,9,2,99,97,97,1, , , , 
98,2,43,8,2,5,5,4,1,2024,3, ,2200,3,7,3,8,8,9,1,9,99,5100, 
98,1,55,8,2,6,10,7,1,2024,4,1,1600,1,5,2,7,7,18,1,99,4,4700, 
2,1,46,3,2,5,5,5,1,2023,1, ,1600, , ,2,10,16,4,2,10,6,2900, 
98,1,50,8,2,3,5,5,1,2023,3, ,3000,3,6,2,12,1,26,2, , , , 
98,1,49,8,2,5,5,5,1,2023,1, ,2500,1, ,2,7,1,25,1,9,4,3716, 
4,1,53,16,2,5,6,4,1,2024,5, , , ,5,2,6,1,18,1,99,3,2735, 
98,1,38,8,2,4,6,3,1,2023,3, ,3000,2, ,1,7,22,9,1,99,5,15000, 
98,1,45,1,97,5,6,4,1,2022,3, ,2000,1, ,1,9,1,25,1,99,5,4500, 
2,1,38,11,2,4,5,5,1,2024,1, ,2000, , ,1,99,22,6,3,2,7,4100, 
98,1,34,1,1,6,9,4,1,2021,3, ,2000,1, ,2,11,21,28,1,8,8,4400, 
5,1,48,12,2,5,9,5,1,2023,4,1,1600,1,7,3,7,17,22,1,1,3,4100, 
98,2,38,16,2,5,10,5,1,2023,5, , , , ,1,8,22,9,1,8,5,5000, 
2,2,39,1,2,5,6,3,1,2021,4,1,1700,1, ,1,6,20,29,1,1,8,3000, 
5,1,39,1,2,4,11,11,1,2021,1, ,2000,1, ,1,10,8,25,1,1,14,6730, 
5,1,57,10,2,7,12,5,1,2023,1, ,1600,1, ,2,2,22,26,2,10,9,3431, 
98,1,44,5,2,4,4,4,1,2023,4,1,2500,1, ,1,3,26,2,1,99,2,7060, 
98,1,62,10,2,6,6,2,1,2024,4,1,1600,1,5,1,10,17,21,1,2,9,4500, 
1,2,52,1,2,5,11,5,1,2022,1, ,3200,1, ,1,11,9,25,1,5,4,16000, 
98,1,54,15,2,6,4,3,1,2024,1, ,1600, , ,2,12,5,28,1,4,5,3480, 
98,2,51,7,2,5,6,98,1,2024,1, ,1000,1, ,2,12,20,20,2,99,1,1800, 
